Hours,Score,Negative Tweets
00,-0.06818181818181818,6
01,-0.0875,7
02,-0.075,8
11,0.0,0
12,-0.04642857142857142,4
13,0.0,0
15,0.0,0
17,-0.075,3
18,-0.0625,3
22,0.3,0
